,text,location,raw_prediction,prediction,cleaned_text,WER
1441,"Death toll missing in wildfires,, specifically Paradise, California much higher than officials are reporting   #CampFire #ParadiseStrong #Woolseyfires #ButteStrong #Qanon #WWG1WGA #DEW",California,Paradise California,Paradise California,Death toll missing in wildfires specifically Paradise California much higher than officials are reporting CampFire ParadiseStrong Woolseyfires ButteStrong Qanon WWG1WGA DEW,1.0
1442,"@Percy_Blooms (50K People Died in Paradise, California wildfires?) Paradise Lost # 20 ~ @ 50,000 Murdered !!!A Matter of Genocide",California Paradise,California,California,50K People Died in Paradise California wildfires Paradise Lost  20 ~ 50000 Murdered A Matter of Genocide,0.5
1443,"TROPICAL Cyclone Idai, which is brewing in Mozambique, is expected to hit Zimbabwe over the weekend with strong winds and thunderstorms likely to leave a trail of destruction in Manicaland, Masvingo and Matabeleland #CycloneIdai #Idai #Cyclone",Manicaland Masvingo Matabeleland Mozambique Zimbabwe,Mozambique Zimbabwe Man ##ical ##and Ma ##s ##ving ##o Mata ##bel ##ela ##nd,Manicaland Matabeleland Mozambique Zimbabwe and thunderstorms,TROPICAL Cyclone Idai which is brewing in Mozambique is expected to hit Zimbabwe over the weekend with strong winds and thunderstorms likely to leave a trail of destruction in Manicaland Masvingo and Matabeleland CycloneIdai Idai Cyclone,0.6
1444,Chief Meteorological officer for Manicaland Lucas Murambi says #CycloneIdai is only expected to arrive in Zimbabwe later tonight. Mutasa District and other north western parts of Manicaland are the highest risk areas although the cyclone could change direction at any point.,Manicaland Mutasa Zimbabwe,Man ##ical ##and Zimbabwe Mu ##tas ##a Man ##ical ##and,Manicaland Meteorological Murambi,Chief Meteorological officer for Manicaland Lucas Murambi says CycloneIdai is only expected to arrive in Zimbabwe later tonight Mutasa District and other north western parts of Manicaland are the highest risk areas although the cyclone could change direction at any point,0.6666666666666666
1445,@BrendanTaylor86 You just forgot to mention victim’s of @cycloneidai in Mozambique,Mozambique,, ,,1.0
1446,RT @Fly_Airlink: Beira airport remains closed today by Mozambique authorities due to the impact of cyclone IDAI. Updates to follow.,Mozambique,Be ##ira Mozambique,Beira Mozambique,RT Beira airport remains closed today by Mozambique authorities due to the impact of cyclone IDAI Updates to follow,1.0
1447,"These are the most pressing items needed for the humanitarian disaster in Manicaland, Chimanimani in particular. 1) Food 2) Bottled Water 3) Blankets #CycloneIdai #Zimbabwe",Chimanimani Manicaland Zimbabwe,Man ##ical ##and Chi ##mani ##mani,Manicaland humanitarian,These are the most pressing items needed for the humanitarian disaster in Manicaland Chimanimani in particular 1 Food 2 Bottled Water 3 Blankets CycloneIdai Zimbabwe,0.6666666666666666
1448,"CYCLONE IDAI has some Hurricane category winds and IDAI is expected to reach HARARE. So far IDAI has caused destruction and loss of life in Malawi, Mozambique and now Zimbabwe! Flooding level rainfall is expected some 500 - 800mm. Be safe out there folks! ὤFἿEὤFἿEὤFἿEὤFἿE#Zimbabwe",Malawi Mozambique Zimbabwe,Malawi Mozambique Zimbabwe,Malawi Mozambique ὤFἿEὤFἿEὤFἿEὤFἿEZimbabwe,CYCLONE IDAI has some Hurricane category winds and IDAI is expected to reach HARARE So far IDAI has caused destruction and loss of life in Malawi Mozambique and now Zimbabwe Flooding level rainfall is expected some 500   800mm Be safe out there folks ὤFἿEὤFἿEὤFἿEὤFἿEZimbabwe,0.3333333333333333
1449,"#CycloneIdai has killed 24 people in Zimbabwe , thousands are homeless and President Mnangangwa has left Zimbabwe for for Abu Dhabi,Vice President Chiwenga is the Acting President. #Asakhe",Abu Dhabi Zimbabwe,Zimbabwe Zimbabwe Abu Dhabi,Abu DhabiVice Zimbabwe,CycloneIdai has killed 24 people in Zimbabwe  thousands are homeless and President Mnangangwa has left Zimbabwe for for Abu DhabiVice President Chiwenga is the Acting President Asakhe,0.3333333333333333
1450,"If you want to donate to #CycloneIdai victims & you are in #Bulawayo ,you Can drop your donations at 45 Moffat Ave Hillside (Along Burnside road) Or call 0773 103 262 we will come and pick your donation. #Asakhe",45 Moffat Ave Hillside Bulawayo,B ##ula ##way ##o Mo ##at Ave Hills,Ave Hillside Bulawayo CycloneIdai donations,If you want to donate to CycloneIdai victims & you are in Bulawayo you Can drop your donations at 45 Moffat Ave Hillside Along Burnside road Or call 0773 103 262 we will come and pick your donation Asakhe,0.8
1451,"Mozambique activates red alert in the north and centre of Mozambique following bad weather and arrival of Tropical #CycloneIdai. At least 10 deaths reported, 10,512 people displaced, and 62,975 people were affected by the floods in Zambézia, Tete and Niassa provinces; #cheiasmoz",Mozambique Niassa Tete Zambézia,Mozambique Mozambique Z ##am ##b ##é ##zia Te ##te Ni ##ass ##a,CycloneIdai Mozambique Niassa Zambézia activates,Mozambique activates red alert in the north and centre of Mozambique following bad weather and arrival of Tropical CycloneIdai At least 10 deaths reported 10512 people displaced and 62975 people were affected by the floods in Zambézia Tete and Niassa provinces cheiasmoz,0.75
1452,@acielumumba Word of advice to motorist Please people with cars dont drive in these heavy rains stay safe your families still need you.Zimbabwe cyclone #CycloneIdai (link: ),Zimbabwe,Zimbabwe,youZimbabwe,Word of advice to motorist Please people with cars dont drive in these heavy rains stay safe your families still need youZimbabwe cyclone CycloneIdai link ,1.0
1453,#CycloneIdai Update: Part of the road damaged by the floods at Umvumvu River along Mutare-Chimanimani Road @SundayMailZim @ChronicleZim @Zimpaperstv,Chimanimani Umvumvu River,Um ##vu Mu ##tar ##e Chi ##mani ##mani,Chimanimani CycloneIdai Mutare Umvumvu,CycloneIdai Update Part of the road damaged by the floods at Umvumvu River along Mutare Chimanimani Road,1.0
1454,"#CycloneIdai is reportedly changing course and it might hit Masvingo. Sad thing is, a District Admin issued an order barring a lot of NGOs from conducting their work there and the NGOs are the most active participants of the rescue efforts rn. Ksazobalit",Masvingo,Ma ##s ##ving ##o,CycloneIdai Masvingo,CycloneIdai is reportedly changing course and it might hit Masvingo Sad thing is a District Admin issued an order barring a lot of NGOs from conducting their work there and the NGOs are the most active participants of the rescue efforts rn Ksazobalit,1.0
1455,"My country Kenya is experiencing serious drought,people are literally dying of hunger.This week has also seen my countrys corruption & f* looting scandals escalate.Down in central Africa, Zimbabwe has been hit by a cyclone that has left hundreds dead! #FaillingGOK #CycloneIdai",Africa Kenya Zimbabwe,Kenya Africa Zimbabwe,Africa Zimbabwe Kenya,My country Kenya is experiencing serious droughtpeople are literally dying of hungerThis week has also seen my countrys corruption & f* looting scandals escalateDown in central Africa Zimbabwe has been hit by a cyclone that has left hundreds dead FaillingGOK CycloneIdai,0.6666666666666666
1456,When such disasters strikes @WFP is the first to arrive and the last to leave. Our teams are on the ground monitoring and assisting the victims of #cycloneidai. We are certain we will deliver and #Mozambique #Malawi and #Zimbabwe will recover.,Malawi Mozambique Zimbabwe,Mozambique Malawi Zimbabwe,Mozambique Malawi Zimbabwe,When such disasters strikes is the first to arrive and the last to leave Our teams are on the ground monitoring and assisting the victims of cycloneidai We are certain we will deliver and Mozambique Malawi and Zimbabwe will recover,0.6666666666666666
1457,"Heartbreaking. Lots of destruction in my rural, #Chimanimani by #CycloneIdai. Several deaths, houses and roads destroyed. Mvumvumvu river floods, Nhedziwa road destroyed. Residents plea for help. #CycloneIdaiUpdate",Chimanimani Nhedziwa road,Chi ##mani ##mani,Chimanimani,Heartbreaking Lots of destruction in my rural Chimanimani by CycloneIdai Several deaths houses and roads destroyed Mvumvumvu river floods Nhedziwa road destroyed Residents plea for help CycloneIdaiUpdate,0.6666666666666666
1458,"#CycloneIdai has left a trail of destruction, lives lost, many displaced, road networks destroyed, crops destroyed, livelihoods completely destroyed. Our thoughts and prayers goes to everyone affected by #CycloneIdai #Zimbabwe #Chimanimani",Chimanimani Zimbabwe,Zimbabwe Chi ##mani,Zimbabwe Chimanimani,CycloneIdai has left a trail of destruction lives lost many displaced road networks destroyed crops destroyed livelihoods completely destroyed Our thoughts and prayers goes to everyone affected by CycloneIdai Zimbabwe Chimanimani,1.0
1459,"Sofala, Manica, Zambezia and Inhambane provinces in #Mozambique have been hardest hit by #CycloneIdai Initial reports indicate significant damage to Beira and surrounding areas, including destroyed houses.",Beira Inhambane Manica Mozambique Sofala Zambezia,So ##fa ##la Man ##ica Z ##am ##be ##zia In ##ham ##ban ##e Mozambique Be ##ira,Beira Inhambane Mozambique Sofala Manica Zambezia,Sofala Manica Zambezia and Inhambane provinces in Mozambique have been hardest hit by CycloneIdai Initial reports indicate significant damage to Beira and surrounding areas including destroyed houses,0.3333333333333333
1460,1/2 WARD 15. Chimanimani urban 1)Number of deaths in Ngangu high density area :26 2)Houses destroyed : 80 * 3) Bridges destroyed : one at pondo WARD 10 : Chikukwa 1)No of deaths : 5 2) Households/houses destroyed :10+ #CycloneIdai,Chikukwa Chimanimani,Chi ##mani ##mani Ng ##ang ##u Chi ##ku ##k ##wa,Chikukwa Chimanimani Ngangu,1 2 WARD 15 Chimanimani urban 1Number of deaths in Ngangu high density area 26 2Houses destroyed  80 * 3 Bridges destroyed  one at pondo WARD 10  Chikukwa 1No of deaths  5 2 Households houses destroyed 10+ CycloneIdai,0.5
1461,"Following Mozambique and Malawi, Zimbabwe the latest target of #CycloneIdai which has turned into the worst extreme weather event of 2019 so far in terms of loss of life and damage to critical infrastructure #ResilienceForAll #/news/world-africa-47595863",Malawi Mozambique Zimbabwe,Mozambique Malawi Zimbabwe ##f ##rica,Malawi Zimbabwe Mozambique africa infrastructure,Following Mozambique and Malawi Zimbabwe the latest target of CycloneIdai which has turned into the worst extreme weather event of 2019 so far in terms of loss of life and damage to critical infrastructure ResilienceForAll  news world africa 47595863,1.0
1462,"Cyclone ravages Mozambique, Malawi and Zimbabwe, killing at least 140: Cyclone Idai made contact with land on Thursday in the countries of Malawi, Mozambique and Zimbabwe, leaving a devastating path of destruction in",Malawi Mozambique Zimbabwe,Mozambique Malawi Zimbabwe Malawi Mozambique Zimbabwe,Mozambique Malawi Zimbabwe,Cyclone ravages Mozambique Malawi and Zimbabwe killing at least 140 Cyclone Idai made contact with land on Thursday in the countries of Malawi Mozambique and Zimbabwe leaving a devastating path of destruction in,0.6666666666666666
1463,"The #CycloneIdaiZW hashtag chronicles the havoc that the cyclone wrecked in #Zimbabwe. Although it had weakened when it hit #Zimbabwe, the countrys lack of preparedness resulted in loss of life and damages that were just as bad as those that occurred in some areas in #Mozambique",Mozambique Zimbabwe,Zimbabwe Zimbabwe,Zimbabwe,The CycloneIdaiZW hashtag chronicles the havoc that the cyclone wrecked in Zimbabwe Although it had weakened when it hit Zimbabwe the countrys lack of preparedness resulted in loss of life and damages that were just as bad as those that occurred in some areas in Mozambique,0.5
1464,Those who want to donate to the victims of the cyclone via red cross can contact their Operations Director Karikoga Kutadzaushe. He said people can bring the donations to their headquarters in Avondale for small items 10 St Annes. #CycloneIdai,Avondale,Avon ##dale St Anne,Avondale St Annes,Those who want to donate to the victims of the cyclone via red cross can contact their Operations Director Karikoga Kutadzaushe He said people can bring the donations to their headquarters in Avondale for small items 10 St Annes CycloneIdai,2.0
1465,1/1 #Zimbabwe #LongThread #CycloneIdaiUPDATE Current death toll stands at 35 in Manicaland province according to the information shared by #MDC Manicaland province. #CycloneIdai,Manicaland Zimbabwe,Zimbabwe Man ##ical ##and Man ##ical ##and,Manicaland Zimbabwe stands,1 1 Zimbabwe LongThread CycloneIdaiUPDATE Current death toll stands at 35 in Manicaland province according to the information shared by MDC Manicaland province CycloneIdai,0.5
1466,"At least 115 people killed in Mozambique, Malawi #SouthAfrica after heavy rains affected 843 000 people across southeast #Africa, officials and the UN said, prompting calls for emergency aid. @OxfaminSAFs considering a response. #CycloneIdai",Africa Malawi Mozambique SouthAfrica,Mozambique Malawi South ##A ##f ##rica Africa,Mozambique Malawi SouthAfrica,At least 115 people killed in Mozambique Malawi SouthAfrica after heavy rains affected 843 000 people across southeast Africa officials and the UN said prompting calls for emergency aid considering a response CycloneIdai,0.5
1467,"@ars_a7mad @Arsenal I dont agree they care! Over 200 people dead, hundreds others missing, hundreds homeless but not a single word for them. Why? Because they are from down in Africa there.. Malawi, Mozambique & Zimbabwe #CycloneIdai",Africa Malawi Mozambique Zimbabwe,Malawi Mozambique Zimbabwe,Malawi Mozambique Zimbabwe,I dont agree they care Over 200 people dead hundreds others missing hundreds homeless but not a single word for them Why Because they are from down in Africa there.. Malawi Mozambique & Zimbabwe CycloneIdai,0.25
1468,"Cyclone Idai Hits Zimbabwe, At Least 31 People Dead The storm which brought floodwater and widespread destruction to Mozambique and Malawi has reached Zimbabwe. Read more at",Malawi Mozambique Zimbabwe,Zimbabwe Mozambique Malawi Zimbabwe,Mozambique Zimbabwe,Cyclone Idai Hits Zimbabwe At Least 31 People Dead The storm which brought floodwater and widespread destruction to Mozambique and Malawi has reached Zimbabwe Read more at,0.3333333333333333
1469,"We are saddened by the terrible news of deaths & devastation in the Eastern Highlands, caused by #CycloneIdai. Our thoughts go out to those who lost loved ones & property - and to those who are tirelessly trying to save lives & belongings. The EU stands ready to assist! #EUinZim",Eastern Highlands,Highlands,Highlands,We are saddened by the terrible news of deaths & devastation in the Eastern Highlands caused by CycloneIdai Our thoughts go out to those who lost loved ones & property   and to those who are tirelessly trying to save lives & belongings The EU stands ready to assist EUinZim,0.5
1470,These young boys idea of fun in a #CycloneIdaiZW flooded river in Mutare rural expose them to serious risk of drowning. Perhaps not enough warnings have gone through even as the death toll from the #CycloneIdai continues to rise @KirstyCoventry #Chimanimani #Manicaland,Chimanimani Manicaland,Mu ##tar ##e Chi ##mani ##mani Man ##ical,Chimanimani Manicaland CycloneIdaiZW Mutare,These young boys idea of fun in a CycloneIdaiZW flooded river in Mutare rural expose them to serious risk of drowning Perhaps not enough warnings have gone through even as the death toll from the CycloneIdai continues to rise Chimanimani Manicaland,1.0
1471,"We would like to join #people and government of #Mozambique, #Malawi and #Zimbabwe to appeal for direct help to the communities affected by #CycloneIdai. Several deaths have been reported with many missing; homes, #livestock and farms have been destroyed. @MalawiGovt @edmnangagwa",Malawi Mozambique Zimbabwe,Mozambique Malawi Zimbabwe,Mozambique Malawi Zimbabwe,We would like to join people and government of Mozambique Malawi and Zimbabwe to appeal for direct help to the communities affected by CycloneIdai Several deaths have been reported with many missing homes livestock and farms have been destroyed,0.6666666666666666
1472,Please like retweet so this message reach as many people as possible. We need all hands on the deck $8658 so far but we need far much more #CycloneIdaiZW #zimbabwe #Bulawayo # Harare,Bulawayo Harare zimbabwe,z ##im ##b ##we B ##ula ##way ##o Hara,CycloneIdaiZW Harare zimbabwe Bulawayo,Please like retweet so this message reach as many people as possible We need all hands on the deck $8658 so far but we need far much more CycloneIdaiZW zimbabwe Bulawayo  Harare,0.6666666666666666
1473,"From tomorrow we pledge to collect any donations from any of our customers with aid, and deliver them daily to the crisis collection centres in Harare. A lot is needed so lets unite and give to those who have been affected the worst. #Ubuntu #LoveZimbabwe #CycloneIDAI",Harare,Hara ##re,centres,From tomorrow we pledge to collect any donations from any of our customers with aid and deliver them daily to the crisis collection centres in Harare A lot is needed so lets unite and give to those who have been affected the worst Ubuntu LoveZimbabwe CycloneIDAI,1.0
1474,"Cyclone #idai in Mozambique has made the road to Beira from the capital Maputo impassable, blocking rescue efforts.",Maputo Mozambique road to Beira,Mozambique Be ##ira Map ##uto,Beira Maputo Mozambique,Cyclone idai in Mozambique has made the road to Beira from the capital Maputo impassable blocking rescue efforts,0.8
1475,How to donate to the #CycloneIdai ecocash biller code. @StarfmZimbabwe @263Chat @Otis_Mak @DailyNewsZim @TechnoMagZw #CycloneIdaiZW #chimanimani #Zimbabwe,Zimbabwe,, ,,1.0
1476,"1/2 SITREP: #CycloneIdai hitherto Sunday 17 March 2019 16:00 hrs ἟F἟Ctime Cde Hon July Moyo, Minister of Local Government Public Works And National Housing: * Official death toll has risen to 64. * A Zimbabwean Fuel Mogul has donated 10 000L of Fuel",Zimbabwean,, ,,1.0
1477,Thousands of people have been displaced by the #CycloneIdai currently sweeping through Zimbabwe and Mozambique. So far 40 lives confirmed dead in Zimbabwe. Our hearts and prayers go to those affected. #Zimbabwe,Mozambique Zimbabwe,Zimbabwe Mozambique Zimbabwe,Zimbabwe,Thousands of people have been displaced by the CycloneIdai currently sweeping through Zimbabwe and Mozambique So far 40 lives confirmed dead in Zimbabwe Our hearts and prayers go to those affected Zimbabwe,0.5
1478,"The damage to infrastructure in #Manicaland is massive. #Zimbabwe needs urgent local, regional and international help. Bridge on the road road connecting #Chimanimani & #Mutare was swept away. #CycloneIdai",Chimanimani Manicaland Mutare Zimbabwe,Man ##ical ##and Zimbabwe Chi ##mani ##mani Mu ##tar ##e,Chimanimani Manicaland Mutare Zimbabwe infrastructure,The damage to infrastructure in Manicaland is massive Zimbabwe needs urgent local regional and international help Bridge on the road road connecting Chimanimani & Mutare was swept away CycloneIdai,0.25
1479,RT @MutareV1: #Masvingo people what are we doing for our friends in #Chimanimani i want to help too #cycloneidai,Chimanimani cycloneidai,Ma ##s ##ving ##o Chi ##mani ##mani,Chimanimani Masvingo,RT Masvingo people what are we doing for our friends in Chimanimani i want to help too cycloneidai,0.5
1480,Bodies of #CycloneIdai victims pile up at Ngangu Roman Catholic as they wait for burial orders.,Ngangu Roman Catholic,Ng ##ang ##u Roman Catholic,Catholic Ngangu Roman,Bodies of CycloneIdai victims pile up at Ngangu Roman Catholic as they wait for burial orders,0.6666666666666666
1481,"CYCLONE IDAI - UPDATE Rusape and Nyanga please stay on higher ground. Chimanimani we continue to mobilize help, please stay safe. Do not cross any rivers, help is on the way. #Cycloneidai",Chimanimani Nyanga Rusape,R ##usa ##pe N ##yang ##a Chi ##mani ##mani,CYCLONE Chimanimani Rusape,CYCLONE IDAI   UPDATE Rusape and Nyanga please stay on higher ground Chimanimani we continue to mobilize help please stay safe Do not cross any rivers help is on the way Cycloneidai,0.6666666666666666
1482,Cyclone Idai: death toll climbs in Mozambique and Zimbabwe,Mozambique Zimbabwe,Mozambique,Mozambique,Cyclone Idai death toll climbs in Mozambique and Zimbabwe,0.5
1483,Please assist and donate to the various organizations assisting those affected by #CycloneIdai. Every helping hand counts. #Zimbabwe,Zimbabwe,, ,,1.0
1484,RT @BBCWorld: Cyclone Idai: Massive and horrifying damage in Mozambique,Mozambique,, ,,1.0
1485,"#UPDATE It is with deep sadness to learn that the #CycloneIdai death toll in Zimbabwe has risen to 82, and is expected to increase. Below, Zimbabweans attempting to seek refuge in Mozambique are stuck in Mt. Selinda as the rivers are swelling. @InfoMinZW @Wamagaisa @Mathuthu",Mozambique Zimbabwe,Zimbabwe Mozambique,Mozambique Zimbabweans,UPDATE It is with deep sadness to learn that the CycloneIdai death toll in Zimbabwe has risen to 82 and is expected to increase Below Zimbabweans attempting to seek refuge in Mozambique are stuck in Mt Selinda as the rivers are swelling,0.5
1486,"In response to request from Mozambique hit by tropical cyclone causing loss of lives and damage, India has diverted 3 Indian Naval Ships to port city of Beira to provide immediate Humanitarian Assistance and Disaster Relief of food, clothes and medical help to affected people.",Beira India Mozambique,Mozambique India Be ##ira,Beira Indian Mozambique,In response to request from Mozambique hit by tropical cyclone causing loss of lives and damage India has diverted 3 Indian Naval Ships to port city of Beira to provide immediate Humanitarian Assistance and Disaster Relief of food clothes and medical help to affected people,0.3333333333333333
1487,Minerva Risk Advisors are appealing to the public to please make a donation toward the Cyclone Idai disaster relief efforts taking place nationwide. #Minerva #CycloneIdai #DisasterRelief #Zimbabwe,Zimbabwe,, ,,1.0
1488,⚡️ Tropical cyclone #Idai hit #Mozambique #Malawi #Zimbabwe on Friday: Catchments were already saturated with vast areas underwater already from last weeks flash flooding in Mozambique & Southern Malawi  #1o5C #Adaptation #LossAndDamages #ExxonKnew,Malawi Mozambique Southern Malawi Zimbabwe,Mozambique Malawi Zimbabwe Mozambique Malawi,Mozambique Malawi,⚡️ Tropical cyclone Idai hit Mozambique Malawi Zimbabwe on Friday Catchments were already saturated with vast areas underwater already from last weeks flash flooding in Mozambique & Southern Malawi 1o5C Adaptation LossAndDamages ExxonKnew,0.6
1489,RT @dszim: For those outside Zim who would like to contribute to relief efforts - this is a legit effort  #CycloneId,Zim,, ,,1.0
1490,The cyclone started in Mozambique yet Zimbabwe death toll has surpassed that of Mozambique . This is very embarrassing & sad,Mozambique Zimbabwe,Mozambique Zimbabwe Mozambique,Mozambique,The cyclone started in Mozambique yet Zimbabwe death toll has surpassed that of Mozambique  This is very embarrassing & sad,0.5
1491,"We are kindly appealing to all members of the public to join hands with us & drop off your donations for the #CycloneIDAI Disaster Relief effort at 7 Kenilworth Road, Newlands, Harare. Thank you so much to everyone who has donated so far. Together we can make a difference.",Harare Newlands,##worth Road New Hara ##re,Kenilworth Road Newlands difference,We are kindly appealing to all members of the public to join hands with us & drop off your donations for the CycloneIDAI Disaster Relief effort at 7 Kenilworth Road Newlands Harare Thank you so much to everyone who has donated so far Together we can make a difference,1.5
1492,"The MDC has issued a statement, expressing its condolences over the scores of people killed by natural hazards induced by Tropical #CycloneIdai. So far, 82 people have been confirmed dead from drowning and falling boulders caused by the cyclone.",CycloneIdai,, ,,1.0
1493,Ὁ4἟F἟C Don’t know where to donate? Please check our insta stories for details on how you can help. Every little bit helps no matter how small. #cycloneidai @ Zimbabwe,Zimbabwe,, ,,1.0
1494,"We have packed the stuff and now waiting for a truck to pick the stuff at 2PM. Thanks to @citezw staff for helping. We received about 15 bales of clothes, medical gloves, 2x boxes of Glocose Meter , 10x 10kg meal meal, sugar beans, water, mazoe , Mahawu. #Asakhe #cycloneidai",Mahawu,, ,,1.0
1495,This is the Buzi district in Mozambique after #CycloneIdai. Thousands of people have had to cling to trees and climbed onto roofs in an effort to try stay afloat. Hundreds of people are feared dead. #PrayForMozambique,Mozambique,Mozambique,PrayForMozambique,This is the Buzi district in Mozambique after CycloneIdai Thousands of people have had to cling to trees and climbed onto roofs in an effort to try stay afloat Hundreds of people are feared dead PrayForMozambique,1.0
1496,"With assessments ongoing all over the provinces hit by #CycloneIdai in #Mozambique Mozambique, the damages toll is mounting. Southwards of Munhinga river, a bridge collapsed, isolating Dombe and Munhinga, in Sussundenga, from the rest of Manica province.",Dombe Manica Mozambique Munhinga Munhinga river Sussundenga,Mozambique Mozambique Dom ##be Mu ##nh ##inga Su ##ss ##und ##eng ##a Man ##ica,Dombe Manica Mozambique Munhinga Sussundenga assessments,With assessments ongoing all over the provinces hit by CycloneIdai in Mozambique Mozambique the damages toll is mounting Southwards of Munhinga river a bridge collapsed isolating Dombe and Munhinga in Sussundenga from the rest of Manica province,0.42857142857142855
1497,Dear Sadza Eaters Dont forget that we are dealing with heatless savages who politicize everything including disasters. Dont forget 2014 when MRT was barred from visiting & donating to victims of Tokwe-Mukosi dam floods in Chingwizi. Mark this tweet history will repeat!,Chingwizi Mukosi Tokwe,To ##k ##we Mu ##kos ##i Ching ##wi ##zi,Chingwizi Tokwe Mukosi politicize,Dear Sadza Eaters Dont forget that we are dealing with heatless savages who politicize everything including disasters Dont forget 2014 when MRT was barred from visiting & donating to victims of Tokwe Mukosi dam floods in Chingwizi Mark this tweet history will repeat,0.6666666666666666
1498,Cannot go back: #Malawi floods leave thousands homeless #MalawiFloods2019 #CycloneIdai,Malawi,Malawi,MalawiFloods2019,Cannot go back Malawi floods leave thousands homeless MalawiFloods2019 CycloneIdai,1.0
1499,"Flooding caused by #CycloneIdai continues to cause massive destruction in #Zimbabwe, with heavy rains ongoing in Manicaland & Masvingo provinces. At least 82 deaths have been reported, 200 people have been injured and over 200 are missing >>",Manicaland Masvingo Zimbabwe,Zimbabwe Man ##ical ##and Ma ##s ##ving ##o,CycloneIdai Manicaland Zimbabwe destruction,Flooding caused by CycloneIdai continues to cause massive destruction in Zimbabwe with heavy rains ongoing in Manicaland & Masvingo provinces At least 82 deaths have been reported 200 people have been injured and over 200 are missing >>,1.0
1500,"Overnight express Bulawayo delivered donations to those affected by #cycloneidai for free. Such commendable actions. There is still some good happening in Zimbabwe, if you pay close attention.",Bulawayo Zimbabwe,B ##ula ##way ##o Zimbabwe,Bulawayo Zimbabwe cycloneidai,Overnight express Bulawayo delivered donations to those affected by cycloneidai for free Such commendable actions There is still some good happening in Zimbabwe if you pay close attention,0.5
1501,"A cyclone killed at least 84 people in Mozambique and 89 in Zimbabwe. Mozambique’s president predicts the death toll could rise to 1,000 and says he saw bodies floating in rivers while flying over the town of Beira. (Photo: AFP/Mission Aviation Fellowship/Rick Emenaket)",Beira Mozambique Zimbabwe,Mozambique Zimbabwe Mozambique Be ##ira,Beira Mozambique,A cyclone killed at least 84 people in Mozambique and 89 in Zimbabwe Mozambique president predicts the death toll could rise to 1000 and says he saw bodies floating in rivers while flying over the town of Beira Photo AFP Mission Aviation Fellowship Rick Emenaket,0.3333333333333333
1502,"On Saturday 16 March, WFP Aviation airlifted 2,000 boxes὎6 of high-energy biscuits from Kenya to Beira, #Mozambique as food assistance to those affected by tropical #CycloneIdai. @WFPLogistics @WFP_Africa",Beira Kenya Mozambique,Kenya Be ##ira Mozambique,Beira Mozambique Kenya,On Saturday 16 March WFP Aviation airlifted 2000 boxes὎6 of high energy biscuits from Kenya to Beira Mozambique as food assistance to those affected by tropical CycloneIdai,0.6666666666666666
1503,"#GetUpAndDoSomething on #TheIgnition this morning with @TeeKayZim @ChrissGreyZW and @MarcPoz. Remember we are kindly appealing to members of the public to drop off your donations for the #CycloneIDAI Disaster Relief effort at 7 Kenilworth Road, Newlands, Harare. #ZiFMCares",7 Kenilworth Road Harare Newlands,Ken ##worth Road New ##lands Hara ##re,Kenilworth Road Newlands ZiFMCares,GetUpAndDoSomething on TheIgnition this morning with and Remember we are kindly appealing to members of the public to drop off your donations for the CycloneIDAI Disaster Relief effort at 7 Kenilworth Road Newlands Harare ZiFMCares,0.6
1504,"This is a real humanitarian disaster. More than 100,000 people are in danger - Mozambican President Filipe Nyusi More than 1,000 feared killed by Cyclone Idai in Mozambique  @AFPgraphics",Mozambican Mozambique,Mo ##bic ##an Mozambique,Mozambican Mozambique humanitarian,This is a real humanitarian disaster More than 100000 people are in danger   Mozambican President Filipe Nyusi More than 1000 feared killed by Cyclone Idai in Mozambique,0.5
1505,"Fellow Africans. Malawi, Mozambique, Zimbabwe have been struck by the deadly #CycloneIdai. The flooding has killed 230+ people in southern Africa: Death toll expected to rise sharply. All 3 countries are NOT coping. Any help will be appreciated",Malawi Mozambique Zimbabwe southern Africa,Malawi Mozambique Zimbabwe Africa,Africans Malawi Mozambique,Fellow Africans Malawi Mozambique Zimbabwe have been struck by the deadly CycloneIdai The flooding has killed 230+ people in southern Africa Death toll expected to rise sharply All 3 countries are NOT coping Any help will be appreciated,0.8
1506,2/3 America with their sophisticated meteorological equipment and rescue machinery failed to cope with Hurricane Katrina that killed 1 836 people in America. And Hurricane Harvey which killed 68 people and destroyed infrastructure worth $125 billion USD. #CycloneIDAI,America,, ,,1.0
1507,"Cyclone Idai: 1 000 Killed In Mozambique, 217 Missing In Zimbabwe",Mozambique Zimbabwe,Mozambique,Mozambique,Cyclone Idai 1 000 Killed In Mozambique 217 Missing In Zimbabwe,0.5
1508,"Good morning Africa. SADC region is facing a serious crisis . The destruction in Mozambique, Malawi and Zimbabwe due to the Cyclone many people have died. The humanitarian assistance is slow.",Africa Malawi Mozambique Zimbabwe,Africa Mozambique Malawi Zimbabwe,Africa Mozambique Malawi Zimbabwe,Good morning Africa SADC region is facing a serious crisis  The destruction in Mozambique Malawi and Zimbabwe due to the Cyclone many people have died The humanitarian assistance is slow,0.5
1509,"The best way to help those suffering from #CycloneIdai’s effects in Mozambique is to give cash to established, experienced, reputable humanitarian aid agencies. A few suggestions: -Mozambique’s Red Cross:  -@wfp_mozambique:  #Beira",-Mozambique Mozambique,Mozambique Mozambique,Mozambique,The best way to help those suffering from CycloneIdai effects in Mozambique is to give cash to established experienced reputable humanitarian aid agencies A few suggestions  Mozambique Red Cross Beira,0.5
